TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Leipzig","Value",OBS_VALUE,542512
1994_1998,"Total population in Urban Audit cities","Leipzig","Value",OBS_VALUE,509836
1999_2002,"Total population in Urban Audit cities","Leipzig","Value",OBS_VALUE,493052
1999_2002,"Proportion of journeys to work by bicycle","Leipzig","Value",OBS_VALUE,7.4
1999_2002,"Proportion of journeys to work by foot","Leipzig","Value",OBS_VALUE,9.1
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Leipzig","Value",OBS_VALUE,23.8
1999_2002,"Proportion of journeys to work by car or motor cycle","Leipzig","Value",OBS_VALUE,59.7
2003_2006,"Total population in Urban Audit cities","Leipzig","Value",OBS_VALUE,498491
2003_2006,"Proportion of journeys to work by bicycle","Leipzig","Value",OBS_VALUE,10.3
2003_2006,"Proportion of journeys to work by foot","Leipzig","Value",OBS_VALUE,8.2
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Leipzig","Value",OBS_VALUE,23.4
2003_2006,"Proportion of journeys to work by car or motor cycle","Leipzig","Value",OBS_VALUE,58.0

