TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Berlin","Value",OBS_VALUE,3465748
1994_1998,"Total population in Urban Audit cities","Berlin","Value",OBS_VALUE,3458760
1999_2002,"Total population in Urban Audit cities","Berlin","Value",OBS_VALUE,3388434
1999_2002,"Proportion of journeys to work by bicycle","Berlin","Value",OBS_VALUE,6.7
1999_2002,"Proportion of journeys to work by foot","Berlin","Value",OBS_VALUE,7.2
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Berlin","Value",OBS_VALUE,38.3
1999_2002,"Proportion of journeys to work by car or motor cycle","Berlin","Value",OBS_VALUE,47.8
2003_2006,"Total population in Urban Audit cities","Berlin","Value",OBS_VALUE,3387828
2003_2006,"Proportion of journeys to work by bicycle","Berlin","Value",OBS_VALUE,7.4
2003_2006,"Proportion of journeys to work by foot","Berlin","Value",OBS_VALUE,7.7
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Berlin","Value",OBS_VALUE,39.7
2003_2006,"Proportion of journeys to work by car or motor cycle","Berlin","Value",OBS_VALUE,45.2

