TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Lausanne","Value",OBS_VALUE,128112
1989_1993,"Proportion of journeys to work by bicycle","Lausanne","Value",OBS_VALUE,0.6
1989_1993,"Proportion of journeys to work by foot","Lausanne","Value",OBS_VALUE,15.1
1989_1993,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Lausanne","Value",OBS_VALUE,45.5
1989_1993,"Proportion of journeys to work by car or motor cycle","Lausanne","Value",OBS_VALUE,38.7
1994_1998,"Total population in Urban Audit cities","Lausanne","Value",OBS_VALUE,124560
1999_2002,"Total population in Urban Audit cities","Lausanne","Value",OBS_VALUE,124914
1999_2002,"Proportion of journeys to work by bicycle","Lausanne","Value",OBS_VALUE,0.9
1999_2002,"Proportion of journeys to work by foot","Lausanne","Value",OBS_VALUE,14.6
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Lausanne","Value",OBS_VALUE,43.7
1999_2002,"Proportion of journeys to work by car or motor cycle","Lausanne","Value",OBS_VALUE,40.8
2003_2006,"Total population in Urban Audit cities","Lausanne","Value",OBS_VALUE,126815

