TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Zaragoza","Value",OBS_VALUE,594394
1994_1998,"Total population in Urban Audit cities","Zaragoza","Value",OBS_VALUE,601674
1999_2002,"Total population in Urban Audit cities","Zaragoza","Value",OBS_VALUE,614905
1999_2002,"Proportion of journeys to work by bicycle","Zaragoza","Value",OBS_VALUE,0.6
1999_2002,"Proportion of journeys to work by foot","Zaragoza","Value",OBS_VALUE,18.1
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Zaragoza","Value",OBS_VALUE,30.7
1999_2002,"Proportion of journeys to work by car or motor cycle","Zaragoza","Value",OBS_VALUE,50.3
2003_2006,"Total population in Urban Audit cities","Zaragoza","Value",OBS_VALUE,638799
2003_2006,"Proportion of journeys to work by bicycle","Zaragoza","Value",OBS_VALUE,0.4
2003_2006,"Proportion of journeys to work by foot","Zaragoza","Value",OBS_VALUE,16.9
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Zaragoza","Value",OBS_VALUE,29.2
2003_2006,"Proportion of journeys to work by car or motor cycle","Zaragoza","Value",OBS_VALUE,53.5

