TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Mainz","Value",OBS_VALUE,179486
1994_1998,"Total population in Urban Audit cities","Mainz","Value",OBS_VALUE,184752
1999_2002,"Total population in Urban Audit cities","Mainz","Value",OBS_VALUE,185293
1999_2002,"Proportion of journeys to work by bicycle","Mainz","Value",OBS_VALUE,6.0
1999_2002,"Proportion of journeys to work by foot","Mainz","Value",OBS_VALUE,10.8
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Mainz","Value",OBS_VALUE,14.6
1999_2002,"Proportion of journeys to work by car or motor cycle","Mainz","Value",OBS_VALUE,68.7
2003_2006,"Total population in Urban Audit cities","Mainz","Value",OBS_VALUE,186061
2003_2006,"Proportion of journeys to work by bicycle","Mainz","Value",OBS_VALUE,6.4
2003_2006,"Proportion of journeys to work by foot","Mainz","Value",OBS_VALUE,10.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Mainz","Value",OBS_VALUE,15.0
2003_2006,"Proportion of journeys to work by car or motor cycle","Mainz","Value",OBS_VALUE,66.9

