TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Total population in Urban Audit cities","Koblenz","Value",OBS_VALUE,107730
1999_2002,"Proportion of journeys to work by bicycle","Koblenz","Value",OBS_VALUE,3.7
1999_2002,"Proportion of journeys to work by foot","Koblenz","Value",OBS_VALUE,12.8
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Koblenz","Value",OBS_VALUE,7.3
1999_2002,"Proportion of journeys to work by car or motor cycle","Koblenz","Value",OBS_VALUE,76.2
2003_2006,"Total population in Urban Audit cities","Koblenz","Value",OBS_VALUE,107039
2003_2006,"Proportion of journeys to work by bicycle","Koblenz","Value",OBS_VALUE,3.0
2003_2006,"Proportion of journeys to work by foot","Koblenz","Value",OBS_VALUE,10.8
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Koblenz","Value",OBS_VALUE,6.0
2003_2006,"Proportion of journeys to work by car or motor cycle","Koblenz","Value",OBS_VALUE,78.7

