TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Rotterdam","Value",OBS_VALUE,582266
1994_1998,"Total population in Urban Audit cities","Rotterdam","Value",OBS_VALUE,592745
1999_2002,"Total population in Urban Audit cities","Rotterdam","Value",OBS_VALUE,595255
1999_2002,"Proportion of journeys to work by bicycle","Rotterdam","Value",OBS_VALUE,13.0
1999_2002,"Proportion of journeys to work by foot","Rotterdam","Value",OBS_VALUE,5.0
2003_2006,"Total population in Urban Audit cities","Rotterdam","Value",OBS_VALUE,598923
2003_2006,"Proportion of journeys to work by bicycle","Rotterdam","Value",OBS_VALUE,14.0
2003_2006,"Proportion of journeys to work by foot","Rotterdam","Value",OBS_VALUE,5.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Rotterdam","Value",OBS_VALUE,25.0

