TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Toulouse","Value",OBS_VALUE,521824
1994_1998,"Proportion of journeys to work by bicycle","Toulouse","Value",OBS_VALUE,2.7
1994_1998,"Proportion of journeys to work by foot","Toulouse","Value",OBS_VALUE,8.0
1999_2002,"Total population in Urban Audit cities","Toulouse","Value",OBS_VALUE,583229
2003_2006,"Total population in Urban Audit cities","Toulouse","Value",OBS_VALUE,651586
2003_2006,"Proportion of journeys to work by bicycle","Toulouse","Value",OBS_VALUE,3.7
2003_2006,"Proportion of journeys to work by foot","Toulouse","Value",OBS_VALUE,7.6
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Toulouse","Value",OBS_VALUE,7.3
2003_2006,"Proportion of journeys to work by car or motor cycle","Toulouse","Value",OBS_VALUE,80.9

