TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1994_1998,"Total population in Urban Audit cities","D?sseldorf","Value",OBS_VALUE,571475
1999_2002,"Total population in Urban Audit cities","D?sseldorf","Value",OBS_VALUE,570765
1999_2002,"Proportion of journeys to work by bicycle","D?sseldorf","Value",OBS_VALUE,6.0
1999_2002,"Proportion of journeys to work by foot","D?sseldorf","Value",OBS_VALUE,10.0
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","D?sseldorf","Value",OBS_VALUE,30.4
1999_2002,"Proportion of journeys to work by car or motor cycle","D?sseldorf","Value",OBS_VALUE,53.6
2003_2006,"Total population in Urban Audit cities","D?sseldorf","Value",OBS_VALUE,572663
2003_2006,"Proportion of journeys to work by bicycle","D?sseldorf","Value",OBS_VALUE,5.6
2003_2006,"Proportion of journeys to work by foot","D?sseldorf","Value",OBS_VALUE,10.9
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","D?sseldorf","Value",OBS_VALUE,30.8
2003_2006,"Proportion of journeys to work by car or motor cycle","D?sseldorf","Value",OBS_VALUE,52.7

