TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Reggio di Calabria","Value",OBS_VALUE,177580
1989_1993,"Proportion of journeys to work by bicycle","Reggio di Calabria","Value",OBS_VALUE,0.2
1989_1993,"Proportion of journeys to work by foot","Reggio di Calabria","Value",OBS_VALUE,14.0
1994_1998,"Total population in Urban Audit cities","Reggio di Calabria","Value",OBS_VALUE,179421
1999_2002,"Total population in Urban Audit cities","Reggio di Calabria","Value",OBS_VALUE,180353
1999_2002,"Proportion of journeys to work by bicycle","Reggio di Calabria","Value",OBS_VALUE,0.1
1999_2002,"Proportion of journeys to work by foot","Reggio di Calabria","Value",OBS_VALUE,10.4
1999_2002,"Proportion of journeys to work by car or motor cycle","Reggio di Calabria","Value",OBS_VALUE,81.9
2003_2006,"Total population in Urban Audit cities","Reggio di Calabria","Value",OBS_VALUE,183041

