TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Bari","Value",OBS_VALUE,342309
1989_1993,"Proportion of journeys to work by bicycle","Bari","Value",OBS_VALUE,0.8
1989_1993,"Proportion of journeys to work by foot","Bari","Value",OBS_VALUE,15.5
1994_1998,"Total population in Urban Audit cities","Bari","Value",OBS_VALUE,332657
1999_2002,"Total population in Urban Audit cities","Bari","Value",OBS_VALUE,316532
1999_2002,"Proportion of journeys to work by bicycle","Bari","Value",OBS_VALUE,1.1
1999_2002,"Proportion of journeys to work by foot","Bari","Value",OBS_VALUE,13.0
1999_2002,"Proportion of journeys to work by car or motor cycle","Bari","Value",OBS_VALUE,72.2
2003_2006,"Total population in Urban Audit cities","Bari","Value",OBS_VALUE,328458

