TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Schweiz/Suisse","Value",OBS_VALUE,6873687
1989_1993,"Proportion of journeys to work by bicycle","Schweiz/Suisse","Value",OBS_VALUE,7.2
1989_1993,"Proportion of journeys to work by foot","Schweiz/Suisse","Value",OBS_VALUE,10.5
1989_1993,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Schweiz/Suisse","Value",OBS_VALUE,30.5
1989_1993,"Proportion of journeys to work by car or motor cycle","Schweiz/Suisse","Value",OBS_VALUE,51.8
1994_1998,"Total population in Urban Audit cities","Schweiz/Suisse","Value",OBS_VALUE,7105446
1999_2002,"Total population in Urban Audit cities","Schweiz/Suisse","Value",OBS_VALUE,7288010
1999_2002,"Proportion of journeys to work by bicycle","Schweiz/Suisse","Value",OBS_VALUE,6.9
1999_2002,"Proportion of journeys to work by foot","Schweiz/Suisse","Value",OBS_VALUE,9.1
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Schweiz/Suisse","Value",OBS_VALUE,27.1
1999_2002,"Proportion of journeys to work by car or motor cycle","Schweiz/Suisse","Value",OBS_VALUE,56.9
2003_2006,"Total population in Urban Audit cities","Schweiz/Suisse","Value",OBS_VALUE,7454112

