TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Oviedo","Value",OBS_VALUE,196051
1994_1998,"Total population in Urban Audit cities","Oviedo","Value",OBS_VALUE,200049
1999_2002,"Total population in Urban Audit cities","Oviedo","Value",OBS_VALUE,201154
1999_2002,"Proportion of journeys to work by bicycle","Oviedo","Value",OBS_VALUE,0.1
1999_2002,"Proportion of journeys to work by foot","Oviedo","Value",OBS_VALUE,39.7
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Oviedo","Value",OBS_VALUE,16.9
1999_2002,"Proportion of journeys to work by car or motor cycle","Oviedo","Value",OBS_VALUE,44.3
2003_2006,"Total population in Urban Audit cities","Oviedo","Value",OBS_VALUE,209495
2003_2006,"Proportion of journeys to work by bicycle","Oviedo","Value",OBS_VALUE,0.1
2003_2006,"Proportion of journeys to work by foot","Oviedo","Value",OBS_VALUE,33.7
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Oviedo","Value",OBS_VALUE,13.7
2003_2006,"Proportion of journeys to work by car or motor cycle","Oviedo","Value",OBS_VALUE,52.5

