TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Total population in Urban Audit cities","Trnava","Value",OBS_VALUE,70286
1999_2002,"Proportion of journeys to work by bicycle","Trnava","Value",OBS_VALUE,6.1
1999_2002,"Proportion of journeys to work by foot","Trnava","Value",OBS_VALUE,62.0
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Trnava","Value",OBS_VALUE,8.6
1999_2002,"Proportion of journeys to work by car or motor cycle","Trnava","Value",OBS_VALUE,23.3
2003_2006,"Total population in Urban Audit cities","Trnava","Value",OBS_VALUE,69140
2003_2006,"Proportion of journeys to work by bicycle","Trnava","Value",OBS_VALUE,5.5
2003_2006,"Proportion of journeys to work by foot","Trnava","Value",OBS_VALUE,55.5
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Trnava","Value",OBS_VALUE,9.1
2003_2006,"Proportion of journeys to work by car or motor cycle","Trnava","Value",OBS_VALUE,29.9

