TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Schwerin","Value",OBS_VALUE,124084
1994_1998,"Total population in Urban Audit cities","Schwerin","Value",OBS_VALUE,111029
1999_2002,"Total population in Urban Audit cities","Schwerin","Value",OBS_VALUE,99978
1999_2002,"Proportion of journeys to work by bicycle","Schwerin","Value",OBS_VALUE,11.5
1999_2002,"Proportion of journeys to work by foot","Schwerin","Value",OBS_VALUE,11.7
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Schwerin","Value",OBS_VALUE,11.5
1999_2002,"Proportion of journeys to work by car or motor cycle","Schwerin","Value",OBS_VALUE,65.3
2003_2006,"Total population in Urban Audit cities","Schwerin","Value",OBS_VALUE,97110
2003_2006,"Proportion of journeys to work by bicycle","Schwerin","Value",OBS_VALUE,11.5
2003_2006,"Proportion of journeys to work by foot","Schwerin","Value",OBS_VALUE,11.2
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Schwerin","Value",OBS_VALUE,9.6
2003_2006,"Proportion of journeys to work by car or motor cycle","Schwerin","Value",OBS_VALUE,67.1

