TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Freiburg im Breisgau","Value",OBS_VALUE,195789
1994_1998,"Total population in Urban Audit cities","Freiburg im Breisgau","Value",OBS_VALUE,200393
1999_2002,"Total population in Urban Audit cities","Freiburg im Breisgau","Value",OBS_VALUE,208294
1999_2002,"Proportion of journeys to work by bicycle","Freiburg im Breisgau","Value",OBS_VALUE,13.6
1999_2002,"Proportion of journeys to work by foot","Freiburg im Breisgau","Value",OBS_VALUE,11.1
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Freiburg im Breisgau","Value",OBS_VALUE,12.6
1999_2002,"Proportion of journeys to work by car or motor cycle","Freiburg im Breisgau","Value",OBS_VALUE,62.7
2003_2006,"Total population in Urban Audit cities","Freiburg im Breisgau","Value",OBS_VALUE,213998
2003_2006,"Proportion of journeys to work by bicycle","Freiburg im Breisgau","Value",OBS_VALUE,12.8
2003_2006,"Proportion of journeys to work by foot","Freiburg im Breisgau","Value",OBS_VALUE,10.6
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Freiburg im Breisgau","Value",OBS_VALUE,12.1
2003_2006,"Proportion of journeys to work by car or motor cycle","Freiburg im Breisgau","Value",OBS_VALUE,62.8

