TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","L'Aquila","Value",OBS_VALUE,66813
1989_1993,"Proportion of journeys to work by bicycle","L'Aquila","Value",OBS_VALUE,0.1
1989_1993,"Proportion of journeys to work by foot","L'Aquila","Value",OBS_VALUE,11.0
1994_1998,"Total population in Urban Audit cities","L'Aquila","Value",OBS_VALUE,66912
1999_2002,"Total population in Urban Audit cities","L'Aquila","Value",OBS_VALUE,68503
1999_2002,"Proportion of journeys to work by bicycle","L'Aquila","Value",OBS_VALUE,0.1
1999_2002,"Proportion of journeys to work by foot","L'Aquila","Value",OBS_VALUE,7.6
1999_2002,"Proportion of journeys to work by car or motor cycle","L'Aquila","Value",OBS_VALUE,84.6
2003_2006,"Total population in Urban Audit cities","L'Aquila","Value",OBS_VALUE,71472

