TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Perugia","Value",OBS_VALUE,144732
1989_1993,"Proportion of journeys to work by bicycle","Perugia","Value",OBS_VALUE,0.4
1989_1993,"Proportion of journeys to work by foot","Perugia","Value",OBS_VALUE,9.7
1994_1998,"Total population in Urban Audit cities","Perugia","Value",OBS_VALUE,146486
1999_2002,"Total population in Urban Audit cities","Perugia","Value",OBS_VALUE,149125
1999_2002,"Proportion of journeys to work by bicycle","Perugia","Value",OBS_VALUE,0.2
1999_2002,"Proportion of journeys to work by foot","Perugia","Value",OBS_VALUE,6.7
1999_2002,"Proportion of journeys to work by car or motor cycle","Perugia","Value",OBS_VALUE,85.2
2003_2006,"Total population in Urban Audit cities","Perugia","Value",OBS_VALUE,157842

