TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Germany","Value",OBS_VALUE,79753227
1994_1998,"Total population in Urban Audit cities","Germany","Value",OBS_VALUE,81817499
1999_2002,"Total population in Urban Audit cities","Germany","Value",OBS_VALUE,82440309
1999_2002,"Proportion of journeys to work by bicycle","Germany","Value",OBS_VALUE,7.9
1999_2002,"Proportion of journeys to work by foot","Germany","Value",OBS_VALUE,10.8
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Germany","Value",OBS_VALUE,13.0
1999_2002,"Proportion of journeys to work by car or motor cycle","Germany","Value",OBS_VALUE,67.5
2003_2006,"Total population in Urban Audit cities","Germany","Value",OBS_VALUE,82500849
2003_2006,"Proportion of journeys to work by bicycle","Germany","Value",OBS_VALUE,7.6
2003_2006,"Proportion of journeys to work by foot","Germany","Value",OBS_VALUE,10.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Germany","Value",OBS_VALUE,13.2
2003_2006,"Proportion of journeys to work by car or motor cycle","Germany","Value",OBS_VALUE,69.2

