TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Denmark","Value",OBS_VALUE,5146469
1994_1998,"Total population in Urban Audit cities","Denmark","Value",OBS_VALUE,5251027
1999_2002,"Total population in Urban Audit cities","Denmark","Value",OBS_VALUE,5349212
1999_2002,"Proportion of journeys to work by bicycle","Denmark","Value",OBS_VALUE,23.8
1999_2002,"Proportion of journeys to work by foot","Denmark","Value",OBS_VALUE,7.6
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Denmark","Value",OBS_VALUE,5.0
1999_2002,"Proportion of journeys to work by car or motor cycle","Denmark","Value",OBS_VALUE,51.4
2003_2006,"Total population in Urban Audit cities","Denmark","Value",OBS_VALUE,5397640
2003_2006,"Proportion of journeys to work by bicycle","Denmark","Value",OBS_VALUE,21.4
2003_2006,"Proportion of journeys to work by foot","Denmark","Value",OBS_VALUE,5.1
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Denmark","Value",OBS_VALUE,13.4
2003_2006,"Proportion of journeys to work by car or motor cycle","Denmark","Value",OBS_VALUE,55.5

