TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Heerlen","Value",OBS_VALUE,94344
1994_1998,"Total population in Urban Audit cities","Heerlen","Value",OBS_VALUE,96015
1999_2002,"Total population in Urban Audit cities","Heerlen","Value",OBS_VALUE,95149
1999_2002,"Proportion of journeys to work by bicycle","Heerlen","Value",OBS_VALUE,10.0
1999_2002,"Proportion of journeys to work by foot","Heerlen","Value",OBS_VALUE,5.0
2003_2006,"Total population in Urban Audit cities","Heerlen","Value",OBS_VALUE,93523
2003_2006,"Proportion of journeys to work by bicycle","Heerlen","Value",OBS_VALUE,10.0
2003_2006,"Proportion of journeys to work by foot","Heerlen","Value",OBS_VALUE,4.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Heerlen","Value",OBS_VALUE,7.0

