TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Bonn","Value",OBS_VALUE,298227
1994_1998,"Total population in Urban Audit cities","Bonn","Value",OBS_VALUE,302873
1999_2002,"Total population in Urban Audit cities","Bonn","Value",OBS_VALUE,306016
1999_2002,"Proportion of journeys to work by bicycle","Bonn","Value",OBS_VALUE,12.3
1999_2002,"Proportion of journeys to work by foot","Bonn","Value",OBS_VALUE,11.1
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Bonn","Value",OBS_VALUE,19.7
1999_2002,"Proportion of journeys to work by car or motor cycle","Bonn","Value",OBS_VALUE,56.9
2003_2006,"Total population in Urban Audit cities","Bonn","Value",OBS_VALUE,311938
2003_2006,"Proportion of journeys to work by bicycle","Bonn","Value",OBS_VALUE,13.2
2003_2006,"Proportion of journeys to work by foot","Bonn","Value",OBS_VALUE,8.8
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Bonn","Value",OBS_VALUE,20.9
2003_2006,"Proportion of journeys to work by car or motor cycle","Bonn","Value",OBS_VALUE,57.1

