TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Murcia","Value",OBS_VALUE,328100
1994_1998,"Total population in Urban Audit cities","Murcia","Value",OBS_VALUE,345759
1999_2002,"Total population in Urban Audit cities","Murcia","Value",OBS_VALUE,370745
1999_2002,"Proportion of journeys to work by bicycle","Murcia","Value",OBS_VALUE,1.2
1999_2002,"Proportion of journeys to work by foot","Murcia","Value",OBS_VALUE,20.3
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Murcia","Value",OBS_VALUE,7.5
1999_2002,"Proportion of journeys to work by car or motor cycle","Murcia","Value",OBS_VALUE,70.8
2003_2006,"Total population in Urban Audit cities","Murcia","Value",OBS_VALUE,398815
2003_2006,"Proportion of journeys to work by bicycle","Murcia","Value",OBS_VALUE,1.0
2003_2006,"Proportion of journeys to work by foot","Murcia","Value",OBS_VALUE,18.3
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Murcia","Value",OBS_VALUE,6.6
2003_2006,"Proportion of journeys to work by car or motor cycle","Murcia","Value",OBS_VALUE,74.0

