TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","M?nchen","Value",OBS_VALUE,1256638
1994_1998,"Total population in Urban Audit cities","M?nchen","Value",OBS_VALUE,1225810
1999_2002,"Total population in Urban Audit cities","M?nchen","Value",OBS_VALUE,1227958
1999_2002,"Proportion of journeys to work by bicycle","M?nchen","Value",OBS_VALUE,7.8
1999_2002,"Proportion of journeys to work by foot","M?nchen","Value",OBS_VALUE,9.1
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","M?nchen","Value",OBS_VALUE,38.9
1999_2002,"Proportion of journeys to work by car or motor cycle","M?nchen","Value",OBS_VALUE,44.2
2003_2006,"Total population in Urban Audit cities","M?nchen","Value",OBS_VALUE,1249176
2003_2006,"Proportion of journeys to work by bicycle","M?nchen","Value",OBS_VALUE,8.2
2003_2006,"Proportion of journeys to work by foot","M?nchen","Value",OBS_VALUE,9.1
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","M?nchen","Value",OBS_VALUE,41.3
2003_2006,"Proportion of journeys to work by car or motor cycle","M?nchen","Value",OBS_VALUE,41.4

