TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1999_2002,"Total population in Urban Audit cities","Dublin","Value",OBS_VALUE,467788
1999_2002,"Proportion of journeys to work by bicycle","Dublin","Value",OBS_VALUE,6.0
1999_2002,"Proportion of journeys to work by foot","Dublin","Value",OBS_VALUE,22.0
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Dublin","Value",OBS_VALUE,24.0
2003_2006,"Total population in Urban Audit cities","Dublin","Value",OBS_VALUE,471841
2003_2006,"Proportion of journeys to work by bicycle","Dublin","Value",OBS_VALUE,5.9
2003_2006,"Proportion of journeys to work by foot","Dublin","Value",OBS_VALUE,21.8
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Dublin","Value",OBS_VALUE,24.6
2003_2006,"Proportion of journeys to work by car or motor cycle","Dublin","Value",OBS_VALUE,41.6

