TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Las Palmas","Value",OBS_VALUE,354877
1994_1998,"Total population in Urban Audit cities","Las Palmas","Value",OBS_VALUE,355563
1999_2002,"Total population in Urban Audit cities","Las Palmas","Value",OBS_VALUE,354863
1999_2002,"Proportion of journeys to work by bicycle","Las Palmas","Value",OBS_VALUE,0.2
1999_2002,"Proportion of journeys to work by foot","Las Palmas","Value",OBS_VALUE,13.0
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Las Palmas","Value",OBS_VALUE,25.2
1999_2002,"Proportion of journeys to work by car or motor cycle","Las Palmas","Value",OBS_VALUE,61.0
2003_2006,"Total population in Urban Audit cities","Las Palmas","Value",OBS_VALUE,376953
2003_2006,"Proportion of journeys to work by bicycle","Las Palmas","Value",OBS_VALUE,0.1
2003_2006,"Proportion of journeys to work by foot","Las Palmas","Value",OBS_VALUE,12.0
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Las Palmas","Value",OBS_VALUE,23.5
2003_2006,"Proportion of journeys to work by car or motor cycle","Las Palmas","Value",OBS_VALUE,64.3

