TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Madrid","Value",OBS_VALUE,3010492
1994_1998,"Total population in Urban Audit cities","Madrid","Value",OBS_VALUE,2866850
1999_2002,"Total population in Urban Audit cities","Madrid","Value",OBS_VALUE,2938723
1999_2002,"Proportion of journeys to work by bicycle","Madrid","Value",OBS_VALUE,0.1
1999_2002,"Proportion of journeys to work by foot","Madrid","Value",OBS_VALUE,9.2
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Madrid","Value",OBS_VALUE,54.4
1999_2002,"Proportion of journeys to work by car or motor cycle","Madrid","Value",OBS_VALUE,36.1
2003_2006,"Total population in Urban Audit cities","Madrid","Value",OBS_VALUE,3099834
2003_2006,"Proportion of journeys to work by bicycle","Madrid","Value",OBS_VALUE,0.1
2003_2006,"Proportion of journeys to work by foot","Madrid","Value",OBS_VALUE,8.6
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Madrid","Value",OBS_VALUE,42.9
2003_2006,"Proportion of journeys to work by car or motor cycle","Madrid","Value",OBS_VALUE,48.4

