TIME,INDIC_UR_LAB,CITIES_LAB,INFO_LAB,INDICATORS,INDICATORS_VALUE
1989_1993,"Total population in Urban Audit cities","Tartu","Value",OBS_VALUE,114046
1994_1998,"Total population in Urban Audit cities","Tartu","Value",OBS_VALUE,103356
1999_2002,"Total population in Urban Audit cities","Tartu","Value",OBS_VALUE,101207
1999_2002,"Proportion of journeys to work by foot","Tartu","Value",OBS_VALUE,20.9
1999_2002,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Tartu","Value",OBS_VALUE,42.3
1999_2002,"Proportion of journeys to work by car or motor cycle","Tartu","Value",OBS_VALUE,32.0
2003_2006,"Total population in Urban Audit cities","Tartu","Value",OBS_VALUE,100482
2003_2006,"Proportion of journeys to work by foot","Tartu","Value",OBS_VALUE,22.3
2003_2006,"Proportion of journeys to work by public transport (rail, metro, bus, tram)","Tartu","Value",OBS_VALUE,31.6
2003_2006,"Proportion of journeys to work by car or motor cycle","Tartu","Value",OBS_VALUE,43.6

